"i","pos_x","pos_y"
1,-58.4753406,-34.5393103
2,-58.4754078,-34.5392588
3,-58.4754838,-34.5391425
4,-58.3952171,-34.5721851
5,-58.3960162,-34.5717168
6,-58.39836,-34.5703997
7,-58.4629273,-34.5754504
8,-58.4626769,-34.5756997
9,-58.4623635,-34.5760273
10,-58.4615915,-34.5768219
11,-58.4607048,-34.5777477
12,-58.4606091,-34.5778477
13,-58.4649739,-34.6027541
14,-58.464995,-34.6027126
15,-58.4655161,-34.6017209
16,-58.4230381,-34.5728735
17,-58.422878,-34.5729364
18,-58.4224419,-34.5731076
19,-58.4034929,-34.6239248
20,-58.4032175,-34.6251466
21,-58.4031875,-34.6252808
22,-58.4031499,-34.6254496
23,-58.4089208,-34.6261564
24,-58.4095706,-34.6262351
25,-58.409916,-34.6262669
26,-58.4099932,-34.626274
27,-58.4102209,-34.6262939
28,-58.4117925,-34.6264482
29,-58.4120132,-34.6264699
30,-58.410382,-34.6350365
31,-58.4093389,-34.6347097
32,-58.4054009,-34.6454893
33,-58.4060889,-34.6456391
34,-58.4067526,-34.6457261
35,-58.4130828,-34.6503111
36,-58.4132743,-34.6496027
37,-58.407576,-34.6006246
38,-58.406795,-34.6006941
39,-58.4066561,-34.6007069
40,-58.4056414,-34.6007853
41,-58.4050191,-34.6008331
42,-58.4045068,-34.600871
43,-58.4241922,-34.5961854
44,-58.4241343,-34.5962227
45,-58.4240398,-34.59625
46,-58.4237105,-34.596287
47,-58.4234294,-34.5963143
48,-58.423155,-34.5963409
49,-58.4230198,-34.5952826
50,-58.4213079,-34.5953763
51,-58.4197931,-34.5954298
52,-58.4185322,-34.5954879
53,-58.4167501,-34.5955434
54,-58.4150589,-34.5955925
55,-58.3987827,-34.6143041
56,-58.398877,-34.6131163
57,-58.3989551,-34.6121223
58,-58.3989581,-34.612088
59,-58.3989671,-34.6119847
60,-58.3990705,-34.6108073
61,-58.3991222,-34.6097017
62,-58.3978744,-34.6148371
63,-58.397515,-34.6147512
64,-58.4673711,-34.5724838
65,-58.4671909,-34.5725969
66,-58.4662427,-34.5731917
67,-58.4660423,-34.5733174
68,-58.4572408,-34.5785691
69,-58.457224,-34.5786156
70,-58.4572092,-34.5786664
71,-58.4572051,-34.5787201
72,-58.4575938,-34.5798233
73,-58.4691816,-34.5900969
74,-58.469092,-34.5901429
75,-58.4690453,-34.5901376
76,-58.4681918,-34.5895299
77,-58.4620531,-34.5851258
78,-58.4619027,-34.5851292
79,-58.4616718,-34.5851344
80,-58.4610014,-34.5851495
81,-58.4456998,-34.5876423
82,-58.4477949,-34.5867849
83,-58.4488499,-34.5863452
84,-58.4498946,-34.5859095
85,-58.4512482,-34.5853223
86,-58.4523488,-34.5848353
87,-58.4535151,-34.5796639
88,-58.454276,-34.5808277
89,-58.4721179,-34.5804754
90,-58.4708729,-34.5804729
91,-58.4733255,-34.5907932
92,-58.4722251,-34.5898186
93,-58.4690888,-34.5840658
94,-58.4685978,-34.5836087
95,-58.4685539,-34.5835543
96,-58.4685229,-34.583487
97,-58.4685067,-34.5834032
98,-58.4634524,-34.5850857
99,-58.4620776,-34.5855604
100,-58.4617729,-34.5856623
101,-58.4639852,-34.5877762
102,-58.4652771,-34.5868524
103,-58.4663531,-34.586054
104,-58.4667946,-34.5857235
105,-58.4674161,-34.5852959
106,-58.4678001,-34.5850063
107,-58.4682377,-34.5846863
108,-58.4694776,-34.5837969
109,-58.4696174,-34.583798
110,-58.4708878,-34.5850824
111,-58.4697051,-34.5852229
112,-58.4695934,-34.5852531
113,-58.4692001,-34.5855402
114,-58.4687777,-34.5858486
115,-58.4683483,-34.5861716
116,-58.4708391,-34.5874694
117,-58.470761,-34.5875284
118,-58.4704041,-34.5878025
119,-58.4702382,-34.5879295
120,-58.4708624,-34.5782705
121,-58.4708592,-34.5791081
122,-58.470859,-34.5791434
123,-58.4708589,-34.5791731
124,-58.4708582,-34.5793514
125,-58.4482978,-34.5731103
126,-58.4488988,-34.5742561
127,-58.4495161,-34.5754816
128,-58.4500548,-34.5764478
129,-58.4505654,-34.5774049
130,-58.4510232,-34.5782484
131,-58.4510935,-34.5783825
132,-58.4704056,-34.602987
133,-58.4705592,-34.6029228
134,-58.471545,-34.6027104
135,-58.4725318,-34.6025167
136,-58.473396,-34.6023195
137,-58.4743341,-34.6021372
138,-58.4752727,-34.6019285
139,-58.4761855,-34.6017371
140,-58.4767963,-34.6016173
141,-58.4769595,-34.6015955
142,-58.4775023,-34.6008145
143,-58.4790868,-34.600897
144,-58.4628975,-34.6032777
145,-58.4627108,-34.6027154
146,-58.4592206,-34.5967047
147,-58.4595848,-34.5978055
148,-58.4596485,-34.5979944
149,-58.4600325,-34.6040142
150,-58.4599975,-34.6039797
151,-58.4599717,-34.6039376
152,-58.4595775,-34.6026732
153,-58.4592459,-34.6016069
154,-58.4591972,-34.6014336
155,-58.4562472,-34.5975861
156,-58.4565979,-34.5986922
157,-58.4594758,-34.5818525
158,-58.4591597,-34.5807515
159,-58.4677226,-34.5866244
160,-58.4708724,-34.5837923
161,-58.4720489,-34.5837711
162,-58.449168,-34.5902049
163,-58.4492746,-34.5902992
164,-58.4497322,-34.5907056
165,-58.4502323,-34.5911488
166,-58.4515104,-34.5922854
167,-58.4572026,-34.5960147
168,-58.4569049,-34.5957386
169,-58.4560376,-34.5949577
170,-58.4402932,-34.6058795
171,-58.440369,-34.605844
172,-58.4404332,-34.6058034
173,-58.4405176,-34.6057232
174,-58.4410669,-34.6051932
175,-58.4542211,-34.5947812
176,-58.4533503,-34.5954303
177,-58.4568143,-34.5943465
178,-58.4551844,-34.5956104
179,-58.4543461,-34.5962553
180,-58.4540382,-34.596462
181,-58.4539714,-34.5965137
182,-58.4539167,-34.5965621
183,-58.4538108,-34.5966627
184,-58.4662434,-34.5911813
185,-58.4661685,-34.5911164
186,-58.4661426,-34.5910907
187,-58.4661193,-34.5910555
188,-58.4661062,-34.5910195
189,-58.4807776,-34.5735469
190,-58.4806811,-34.5736699
191,-58.4801478,-34.5743662
192,-58.4789569,-34.5864872
193,-58.478008,-34.5857452
194,-58.4771295,-34.5850882
195,-58.475805,-34.5840356
196,-58.4746472,-34.5831628
197,-58.4737082,-34.5824131
198,-58.4735405,-34.5822933
199,-58.4729111,-34.5833669
200,-58.4730022,-34.5834057
201,-58.4730822,-34.5834686
202,-58.4735876,-34.5840582
203,-58.47374,-34.5842284
204,-58.4746911,-34.5853544
205,-58.4759068,-34.5862582
206,-58.4760344,-34.5863531
207,-58.4768577,-34.5869748
208,-58.4776819,-34.5876119
209,-58.4778176,-34.5877168
210,-58.4785028,-34.5882598
211,-58.4786116,-34.5883406
212,-58.479735,-34.5891936
213,-58.4810214,-34.5901899
214,-58.4810704,-34.5902306
215,-58.4810824,-34.5902487
216,-58.4811301,-34.5903373
217,-58.4782086,-34.5910842
218,-58.4782693,-34.5909486
219,-58.4788759,-34.5902374
220,-58.4795279,-34.5907413
221,-58.4789687,-34.5903091
222,-58.4791198,-34.580796
223,-58.4791553,-34.5812762
224,-58.4791879,-34.5817247
